,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
227,Q0.100,258.72894382983924,rep0,0.1,19633,nanoTxformer,0.20647581004747012
228,Q0.100,258.72894382983924,rep0,0.215,42211,VAE,1.0216345874301063
229,Q0.100,258.72894382983924,rep0,0.215,42211,PCA,0.6751408098456534
230,Q0.100,258.72894382983924,rep0,0.215,42211,RandomProjection,0.09908878562131607
231,Q0.100,258.72894382983924,rep0,0.464,91098,VAE,1.090756458522404
232,Q0.100,258.72894382983924,rep0,0.464,91098,PCA,0.7245805346912644
233,Q0.100,258.72894382983924,rep0,0.464,91098,RandomProjection,0.14894947197806796
234,Q0.100,258.72894382983924,rep0,1.0,196332,VAE,1.1081103662333396
235,Q0.100,258.72894382983924,rep0,1.0,196332,PCA,0.6743082198018622
236,Q0.100,258.72894382983924,rep0,1.0,196332,RandomProjection,0.15240870812622437
237,Q0.100,258.72894382983924,rep0,1.0,196332,nanoTxformer,0.1981368607631069
238,Q0.215,557.3934050485911,rep0,0.001,196,VAE,0.8311946680774416
239,Q0.215,557.3934050485911,rep0,0.001,196,PCA,0.7902132924713993
240,Q0.215,557.3934050485911,rep0,0.001,196,RandomProjection,0.21554401143222024
241,Q0.215,557.3934050485911,rep0,0.001,196,nanoTxformer,0.18841597020220213
242,Q0.215,557.3934050485911,rep0,0.002,392,VAE,0.8691442239802092
243,Q0.215,557.3934050485911,rep0,0.002,392,PCA,0.910755251574868
244,Q0.215,557.3934050485911,rep0,0.002,392,RandomProjection,0.055796310219128745
245,Q0.215,557.3934050485911,rep0,0.005,981,VAE,0.9906921581530116
246,Q0.215,557.3934050485911,rep0,0.005,981,PCA,0.8911371359463337
247,Q0.215,557.3934050485911,rep0,0.005,981,RandomProjection,0.3214413117908395
248,Q0.215,557.3934050485911,rep0,0.01,1963,VAE,1.1249491821514912
249,Q0.215,557.3934050485911,rep0,0.01,1963,PCA,0.9752054238528937
250,Q0.215,557.3934050485911,rep0,0.01,1963,RandomProjection,0.2474455520352673
251,Q0.215,557.3934050485911,rep0,0.01,1963,nanoTxformer,0.09315802454113963
252,Q0.215,557.3934050485911,rep0,0.022,4319,VAE,1.1223434361554023
253,Q0.215,557.3934050485911,rep0,0.022,4319,PCA,0.9602900167370865
